ID,POSITIVE,NEUTRAL,NEGATIVE,COMPUND 
4346,0.068,0.932,0.0,0.1901
4391,0.0,1.0,0.0,0.0
4392,0.0,1.0,0.0,0.0
4394,0.548,0.452,0.0,0.872
4402,0.352,0.648,0.0,0.765
4413,0.0,0.847,0.153,-0.4019
4414,0.0,0.811,0.189,-0.4215
4415,0.0,1.0,0.0,0.0
4417,0.097,0.672,0.231,-0.4215
4418,0.0,1.0,0.0,0.0
4421,0.066,0.857,0.076,-0.079
4422,0.385,0.615,0.0,0.3612
4423,0.0,0.792,0.208,-0.6115
4424,0.114,0.886,0.0,0.4019
4425,0.221,0.779,0.0,0.1779
4430,0.32,0.68,0.0,0.5719
4432,0.071,0.929,0.0,0.25
4433,0.107,0.801,0.092,0.1505
4434,0.116,0.884,0.0,0.7086
4435,0.0,0.759,0.241,-0.2263
4439,0.128,0.756,0.116,0.0609
4442,0.0,0.899,0.101,-0.4019
4443,0.0,1.0,0.0,0.0
4444,0.144,0.856,0.0,0.4019
4445,0.0,0.714,0.286,-0.4215
4446,0.279,0.721,0.0,0.7003
4447,0.0,0.933,0.067,-0.25
4448,0.131,0.816,0.053,0.4971
4453,0.305,0.61,0.085,0.7906
4471,0.0,1.0,0.0,0.0
4472,0.524,0.476,0.0,0.5267
4473,0.252,0.748,0.0,0.4019
4478,0.0,1.0,0.0,0.0
4479,0.0,0.928,0.072,-0.1027
4480,0.0,1.0,0.0,0.0
4481,0.444,0.556,0.0,0.6808
4491,0.455,0.545,0.0,0.6124
4492,0.074,0.801,0.125,-0.3887
4493,0.0,1.0,0.0,0.0
4494,0.278,0.722,0.0,0.4019
4496,0.0,0.895,0.105,-0.4019
4504,0.091,0.909,0.0,0.1779
4505,0.0,0.861,0.139,-0.2732
4517,0.22,0.78,0.0,0.7215
4518,0.077,0.852,0.071,0.0516
4519,0.197,0.803,0.0,0.6597
4524,0.0,0.828,0.172,-0.3612
4529,0.198,0.802,0.0,0.4939
4530,0.273,0.727,0.0,0.5423
4532,0.184,0.816,0.0,0.4019
4533,0.144,0.856,0.0,0.368
4534,0.27,0.546,0.184,0.3612
4535,0.302,0.603,0.095,0.5803
4536,0.273,0.657,0.071,0.6124
4543,0.0,0.682,0.318,-0.1027
4544,0.31,0.69,0.0,0.6597
4545,0.216,0.784,0.0,0.2337
